Song,Artist,Release Date,Issue Date,Weeks,Avs.
Starboy,The WeekndfeaturingDaft Punk,21-Sep-16,29-Dec-16,2,25.5
Shape of You ‡,Ed Sheeran,06-Jan-17,12-Jan-17,14,51.9
Humble,Kendrick Lamar,30-Mar-17,20-Apr-17,1,41.4
Despacito (remix),Luis FonsifeaturingDaddy YankeeandJustin Bieber,17-Apr-17,27-Apr-17,14,45.9
Mi Gente,J BalvinfeaturingWilly William,30-Jun-17,03-Aug-17,4,32.1
Look What You Made Me Do,Taylor Swift,24-Aug-17,31-Aug-17,2,39.8
Too Good at Goodbyes,Sam Smith,08-Sep-17,14-Sep-17,1,30.7
Rockstar,Post Malonefeaturing21 Savage,15-Sep-17,21-Sep-17,17,38.6
Havana,Camila CabellofeaturingYoung Thug,03-Aug-17,18-Jan-18,1,30.9
God's Plan  ‡,Drake,19-Jan-18,25-Jan-18,10,48.8
Call Out My Name,The Weeknd,30-Mar-18,05-Apr-18,1,40.6
God's Plan ‡(2),Drake,19-Jan-18,12-Apr-18,1,37.5
Nice for What,Drake,06-Apr-18,19-Apr-18,2,40.7
Better Now,Post Malone,27-Apr-18,03-May-18,2,38.2
This Is America,Childish Gambino,05-May-18,17-May-18,1,34.9
Better Now(2),Post Malone,27-Apr-18,24-May-18,4,30.2
Nonstop,Drake,29-Jun-18,05-Jul-18,1,43.7
In My Feelings,Drake,29-Jun-18,12-Jul-18,8,51.5
Lucky You,EminemfeaturingJoyner Lucas,31-Aug-18,06-Sep-18,1,34.9
I Love It,Kanye WestfeaturingLil Pump,07-Sep-18,13-Sep-18,3,32.9
Taki Taki,DJ SnakefeaturingSelena Gomez OzunaandCardi B,28-Sep-18,04-Oct-18,2,31.3
Mia,Bad BunnyfeaturingDrake,12-Oct-18,18-Oct-18,1,39.6
Taki Taki(2),DJ SnakefeaturingSelena Gomez OzunaandCardi B,28-Sep-18,25-Oct-18,02-Jan-00,40.5
"Thank U, Next",Ariana Grande,03-Nov-18,08-Nov-18,7,46
All I Want for Christmas Is You,Mariah Carey,01-Nov-94,27-Dec-18,1,39.6
"Thank U, Next(2)",Ariana Grande,03-Nov-18,03-Jan-19,1,31.2
