Rank,Song,Artist,Streams(billions),ReleaseDate,Ref
1,"Blinding Lights",The Weeknd,4.158,29 November 2019,[2][3]
2,"Shape of You",Ed Sheeran,3.835,6 January 2017,[4]
3,"Someone You Loved",Lewis Capaldi,3.304,8 November 2018,[5]
4,"Sunflower",Post MalonefeaturingSwae Lee,3.241,18 October 2018,[6][7]
5,"Starboy",The WeekndfeaturingDaft Punk,3.150,21 September 2016,[8][3]
6,"As It Was",Harry Styles,3.123,1 April 2022,[9][10]
7,"One Dance",DrakefeaturingWizkidandKyla,3.077,5 April 2016,[11]
8,"Dance Monkey",Tones and I,3.021,10 May 2019,[12]
9,"Stay",The Kid LaroifeaturingJustin Bieber,3.011,9 July 2021,[13]
10,"Believer",Imagine Dragons,2.914,1 February 2017,[14][15]
11,"Rockstar",Post Malonefeaturing21 Savage,2.912,15 September 2017,[7]
12,"Heat Waves",Glass Animals,2.903,29 June 2020,[16][17]
13,"Perfect",Ed Sheeran,2.886,3 March 2017,[4]
14,"Closer",The ChainsmokersfeaturingHalsey,2.799,29 July 2016,[18][19]
15,"Sweater Weather",The Neighbourhood,2.756,28 March 2012,[20]
16,"Say You Won't Let Go",James Arthur,2.721,9 September 2016,[21]
17,"Lovely",Billie EilishfeaturingKhalid,2.720,19 April 2018,[22][23]
18,"Señorita",Shawn MendesfeaturingCamila Cabello,2.681,21 June 2019,[24][25]
19,"Watermelon Sugar",Harry Styles,2.606,13 December 2019,[26][10]
20,"Don't Start Now",Dua Lipa,2.538,1 November 2019,[27][28]
21,"Lucid Dreams",Juice Wrld,2.493,4 May 2018,[29][30]
22,"Something Just Like This",The Chainsmokers&Coldplay,2.491,22 February 2017,[19]
23,"God's Plan",Drake,2.476,19 January 2018,[31]
24,"Bad Guy",Billie Eilish,2.471,29 March 2019,[32][23]
25,"Photograph",Ed Sheeran,2.467,20 June 2014,[4]
26,"Thinking Out Loud",Ed Sheeran,2.457,20 June 2014,[4]
27,"Take Me to Church",Hozier,2.447,13 September 2013,[33][34]
28,"Bohemian Rhapsody",Queen,2.428,31 October 1975,[35][36]
29,"Riptide",Vance Joy,2.422,21 May 2013,[37][38]
30,"Circles",Post Malone,2.405,30 August 2019,[7]
31,"Shallow",Lady GagafeaturingBradley Cooper,2.384,27 September 2018,[39][40]
32,"Counting Stars",OneRepublic,2.361,25 March 2013,[41][42]
33,"Love Yourself",Justin Bieber,2.358,9 November 2015,[13]
34,"Thunder",Imagine Dragons,2.309,27 April 2017,[15]
35,"All of Me",John Legend,2.308,12 August 2013,[43][44]
36,"Goosebumps",Travis ScottfeaturingKendrick Lamar,2.299,2 September 2016,[45]
37,"Another Love",Tom Odell,2.297,24 June 2013,[46][47]
38,"Can't Hold Us",Macklemore & Ryan LewisfeaturingRay Dalton,2.291,16 August 2011,[48][49]
39,"Stressed Out",Twenty One Pilots,2.247,28 April 2015,[50]
40,"Wake Me Up",Avicii,2.244,17 June 2013,[51][52]
41,"The Hills",The Weeknd,2.234,27 May 2015,[53][3]
42,"7 Rings",Ariana Grande,2.206,18 January 2019,[54][55]
43,"Yellow",Coldplay,2.190,26 June 2000,[56]
44,"Let Her Go",Passenger,2.185,24 July 2012,[57][58]
45,"Sad!",XXXTentacion,2.183,1 March 2018,[59][60]
46,"Demons",Imagine Dragons,2.174,4 September 2012,[15]
47,"Die For You",The Weeknd,2.151,25 November 2016,[60]
48,"No Role Modelz",J. Cole,2.146,9 December 2014,[61]
49,"Humble",Kendrick Lamar,2.146,30 March 2017,[62][63]
50,"Jocelyn Flores",XXXTentacion,2.141,31 October 2017,[64][65]
51,"Lose Yourself",Eminem,2.119,28 October 2002,[66][67]
52,"Drivers License",Olivia Rodrigo,2.116,8 January 2021,[68][69]
53,"Do I Wanna Know?",Arctic Monkeys,2.107,19 June 2013,[70][28]
54,"Good 4 U",Olivia Rodrigo,2.106,14 May 2021,[71][69]
55,"One Kiss",Calvin HarrisfeaturingDua Lipa,2.105,6 April 2018,[72][73]
56,"Treat You Better",Shawn Mendes,2.099,3 June 2016,[25]
57,"Mr. Brightside",The Killers,2.086,7 June 2004,[74][75]
58,"Sicko Mode",Travis ScottfeaturingDrake,2.085,3 August 2018,[45]
59,"Happier",MarshmellofeaturingBastille,2.083,17 August 2018,[76][77]
60,"Let Me Love You",DJ SnakefeaturingJustin Bieber,2.081,5 August 2016,[78][79]
61,"XO Tour Llif3",Lil Uzi Vert,2.076,24 March 2017,[80][81]
62,"New Rules",Dua Lipa,2.052,2 June 2017,[82][28]
63,"Without Me",Eminem,2.043,15 May 2002,[67]
64,"Sorry",Justin Bieber,2.029,22 October 2015,[83][13]
65,"Havana",Camila CabellofeaturingYoung Thug,2.029,3 August 2017,[84][85]
66,"Stay With Me",Sam Smith,2.029,14 April 2014,[86][87]
67,"Levitating",Dua LipafeaturingDaBaby,2.020,1 October 2020,[88][28]
68,"When I Was Your Man",Bruno Mars,2.015,7 December 2012,[89][90]
69,"Lean On",Major LazerfeaturingMØandDJ Snake,2.011,2 March 2015,[91][79]
70,"Too Good At Goodbyes",Sam Smith,2.006,8 September 2017,[87][92]
71,"I Wanna Be Yours",Arctic Monkeys,2.003,9 September 2013,[93][94]
72,"That's What I Like",Bruno Mars,2.002,18 November 2016,
