Song,Artist_x,Release Date,Issue Date,Weeks,Avs.,Unnamed: 6,Rank,Artist_y,Streams(billions),ReleaseDate,Ref
Starboy,The WeekndfeaturingDaft Punk,21-Sep-16,29-Dec-16,2,25.5,,5,The WeekndfeaturingDaft Punk,3.15,21-Sep-16,[8][3]
Humble,Kendrick Lamar,30-Mar-17,20-Apr-17,1,41.4,,49,Kendrick Lamar,2.146,30-Mar-17,[62][63]
Rockstar,Post Malonefeaturing21 Savage,15-Sep-17,21-Sep-17,17,38.6,,11,Post Malonefeaturing21 Savage,2.912,15-Sep-17,[7]
Rockstar,DaBabyfeaturingRoddy Ricch,17-Apr-20,04-Jun-20,2,38,,11,Post Malonefeaturing21 Savage,2.912,15-Sep-17,[7]
Havana,Camila CabellofeaturingYoung Thug,03-Aug-17,18-Jan-18,1,30.9,,65,Camila CabellofeaturingYoung Thug,2.029,03-Aug-17,[84][85]
Better Now,Post Malone,27-Apr-18,03-May-18,2,38.2,,90,Post Malone,1.918,27-Apr-18,[119][120]
Sunflower,Post MalonefeaturingSwae Lee,18-Oct-18,17-Jan-19,2,33.6,,4,Post MalonefeaturingSwae Lee,3.241,18-Oct-18,[6][7]
7 Rings,Ariana Grande,18-Jan-19,24-Jan-19,10,47.9,,42,Ariana Grande,2.206,18-Jan-19,[54][55]
Bad Guy,Billie Eilish,29-Mar-19,04-Apr-19,6[F],42.6,,24,Billie Eilish,2.471,29-Mar-19,[32][23]
Circles,Post Malone,30-Aug-19,12-Sep-19,1,43.4,,30,Post Malone,2.405,30-Aug-19,[7]
Dance Monkey,Tones and I,10-May-19,17-Oct-19,2,42.9,,8,Tones and I,3.021,10-May-19,[12]
The Box,Roddy Ricch,06-Dec-19,13-Feb-20,1,46.2,,103,Roddy Ricch,1.857,06-Dec-19,
Dakiti,Bad BunnyfeaturingJhay Cortez,30-Oct-20,12-Nov-20,6,47.7,,86,Bad BunnyfeaturingJhayco,1.93,30-Oct-20,[112][113]
Montero (Call Me by Your Name),Lil Nas X,26-Mar-21,15-Apr-21,5,49.4,,99,Lil Nas X,1.869,26-Mar-21,[129][94]
Good 4 U,Olivia Rodrigo,14-May-21,20-May-21,7,63.2,,54,Olivia Rodrigo,2.106,14-May-21,[71][69]
Stay,The Kid LaroifeaturingJustin Bieber,09-Jul-21,05-Aug-21,11,60.8,,9,The Kid LaroifeaturingJustin Bieber,3.011,09-Jul-21,[13]
Heat Waves,Glass Animals,29-Jun-20,27-Jan-22,10,30.7,,12,Glass Animals,2.903,29-Jun-20,[16][17]
